Number,Title,Yardage,Description,TSS,Duration
1,Endurance Build #1,2000,"**Warm Up**
-  400 as: - 200 Swim @50-70% - 2x25 Kick - Take 5s - 100 Pull @70%
**Drill Set**
•  - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim
**Pre-Set**
•  4x50 Swim in :45 (CS) on :55
**Main Set**
•  2x600 as follows, w/ 20s in between each: #1 in 9:10–9:17 (Z2) #2 in 9:26–9:33 (Z1) #3 in 8:59–9:06 (CS) #4 in 8:59–9:06 (CS)
**Cool Down**
•  2x25 Press Your Buoy Drill 1x50 Swim - focused on PYB and a neutral head - Take 5-10s between each

**Total: 3,699 yards (3,383 meters)**

**Total: 2000 yards**",40,2400
1,Endurance Build #1,2500,"**Warm Up**
-  400 as: - 200 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @70%
**Drill Set**
•  - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim
**Pre-Set**
•  5x50 Swim in :45 (CS) on :55
**Main Set**
•  3x600 as follows, w/ 20s in between each: #1 in 9:10–9:17 (Z2) #2 in 9:26–9:33 (Z1) #3 in 8:59–9:06 (CS) #4 in 8:59–9:06 (CS)
**Cool Down**
•  3x25 Press Your Buoy Drill 1x50 Swim - focused on PYB and a neutral head - Take 5-10s between each

**Total: 3,699 yards (3,383 meters)**

**Total: 2500 yards**",50,3000
1,Endurance Build #1,3000,"**Warm Up**
-  400 as: - 200 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @70%
**Drill Set**
•  - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim
**Pre-Set**
•  6x50 Swim in :45 (CS) on :55
**Main Set**
•  3x600 as follows, w/ 20s in between each: #1 in 9:10–9:17 (Z2) #2 in 9:26–9:33 (Z1) #3 in 8:59–9:06 (CS) #4 in 8:59–9:06 (CS)
**Cool Down**
•  3x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each

**Total: 3,699 yards (3,383 meters)**

**Total: 3000 yards**",60,3600
1,Endurance Build #1,3500,"**Warm Up**
-  400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70%
**Drill Set**
•  - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim
**Pre-Set**
•  8x50 Swim in :45 (CS) on :55
**Main Set**
•  4x600 as follows, w/ 20s in between each: #1 in 9:10–9:17 (Z2) #2 in 9:26–9:33 (Z1) #3 in 8:59–9:06 (CS) #4 in 8:59–9:06 (CS)
**Cool Down**
•  4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each

**Total: 3,699 yards (3,383 meters)**

**Total: 3500 yards**",70,4200
1,Endurance Build #1,3700,"**Warm-Up**
  -  400 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @70% 
**Drill Set**
•  - Take 5-10s after each 25 Six Times Through... - 25 Press Your Buoy Drill - 25 Swim 
**Pre-Set**
•  8x50 Swim in :45 (CS) on :55 
**Main Set**
•  4x600 as follows, w/ 20s in between each: #1 in 9:10–9:17 (Z2) #2 in 9:26–9:33 (Z1) #3 in 8:59–9:06 (CS) #4 in 8:59–9:06 (CS) 
**Cool-Down**
•  4x25 Press Your Buoy Drill 2x50 Swim - focused on PYB and a neutral head - Take 5-10s between each

**Total: 3,699 yards (3,383 meters)**",74,4440
2,Speed and Power #1,2000,"**Warm Up**
-  500 as: - 300 Swim @50-70% - 2x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  5x25 3-2-3 Drill*
**Pre-Set**
•  Eight Times Through... - 25 KOB - Take 5s - 50 Swim @80% - Take 10s
**Main Set**
•  - Two Times Through... 6x50 Swim in :41 (10%) on 1:00 2x100 Swim in 1:30 (CS) on 1:40 100 EASY
**Cool Down**
•  2x25 3-2-3 Drill 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2000 yards**",40,2400
2,Speed and Power #1,2500,"**Warm Up**
-  500 as: - 300 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  6x25 3-2-3 Drill*
**Pre-Set**
•  Eight Times Through... - 25 KOB - Take 5s - 50 Swim @80% - Take 10s
**Main Set**
•  - Two Times Through... 7x50 Swim in :41 (10%) on 1:00 3x100 Swim in 1:30 (CS) on 1:40 100 EASY
**Cool Down**
•  3x25 3-2-3 Drill 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2500 yards**",50,3000
2,Speed and Power #1,3000,"**Warm Up**
-  500 as: - 300 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  7x25 3-2-3 Drill*
**Pre-Set**
•  Eight Times Through... - 25 KOB - Take 5s - 50 Swim @80% - Take 10s
**Main Set**
•  - Two Times Through... 9x50 Swim in :41 (10%) on 1:00 3x100 Swim in 1:30 (CS) on 1:40 100 EASY
**Cool Down**
•  3x25 3-2-3 Drill 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 3000 yards**",60,3600
2,Speed and Power #1,3500,"**Warm-Up**
  -  500 as: - 300 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @60-70% 
**Drill Set**
•  8x25 3-2-3 Drill* 
**Pre-Set**
•  Eight Times Through... - 25 KOB - Take 5s - 50 Swim @80% - Take 10s 
**Main Set**
•  - Two Times Through... 10x50 Swim in :41 (10%) on 1:00 4x100 Swim in 1:30 (CS) on 1:40 100 EASY 
**Cool-Down**
•  4x25 3-2-3 Drill 100 Choice

**Total: 3,499 yards (3,200 meters)**",70,4200
3,Open Water Skills #1,2000,"**Warm Up**
-  600 as: - 300 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @60-70%
**Drill Set**
•  4x25 Press Your Buoy Drill - Take 5-10s 4x25 TARZAN Swim - Take 5-10s
**Pre-Set**
•  2x50 Swim as 25 HIGH Turnover, 25 Steady 2x50 Swim as 25 OVER-Kick, 25 Limit Kick
**Main Set**
•  - Two Times Through... 1x400 in 6:06–6:11 (Z2), sight in the middle of each length on 6:30 1x100 @HIGH uptempo, with no walls* - Take 10s 100 EASY reset
**Cool Down**
•  2x25 Press Your Buoy Drill - Take 5-10s 2x25 TARZAN Swim - Take 5-10s 100 Choice

**Total: 3,899 yards (3,566 meters)**

**Total: 2000 yards**",40,2400
